date,city,price
2020-03-01,MARSEILLE,2677.213985621638
2020-04-01,MARSEILLE,2684.199359636492
2020-05-01,MARSEILLE,2690.9593990057474
2020-06-01,MARSEILLE,2697.944773020601
2020-07-01,MARSEILLE,2704.7048123898276
2020-08-01,MARSEILLE,2711.6901864047104
2020-09-01,MARSEILLE,2718.6755604195932
2020-10-01,MARSEILLE,2725.4355997888197
2020-11-01,MARSEILLE,2732.4209738037025
2020-12-01,MARSEILLE,2739.181013172929
2016-01-01,TOULON,2430.0758001052745
2016-02-01,TOULON,2429.0692824853395
2016-03-01,TOULON,2428.1277014860425
2016-04-01,TOULON,2427.1211838661075
2016-05-01,TOULON,2426.1471345564933
2016-06-01,TOULON,2425.1406169365546
2016-07-01,TOULON,2424.1665676269404
2016-08-01,TOULON,2423.1600500070053
2016-09-01,TOULON,2422.1535323870703
2016-10-01,TOULON,2421.1794830774525
2016-11-01,TOULON,2420.1729654575174
2016-12-01,TOULON,2419.198916147903
2017-01-01,TOULON,2418.192398527968
2017-02-01,TOULON,2417.1858809080295
2017-03-01,TOULON,2416.276768219057
2017-04-01,TOULON,2415.270250599122
2017-05-01,TOULON,2414.296201289504
2017-06-01,TOULON,2413.289683669569
2017-07-01,TOULON,2412.315634359955
2017-08-01,TOULON,2411.30911674002
2017-09-01,TOULON,2410.302599120081
2017-10-01,TOULON,2409.328549810467
2017-11-01,TOULON,2408.322032190532
2017-12-01,TOULON,2407.347982880914
2018-01-01,TOULON,2406.341465260979
2018-02-01,TOULON,2405.334947641044
2018-03-01,TOULON,2404.425834952068
2018-04-01,TOULON,2403.419317332133
2018-05-01,TOULON,2402.4452680225186
2018-06-01,TOULON,2401.4387504025835
2018-07-01,TOULON,2400.4647010929657
2018-08-01,TOULON,2399.4581834730307
2018-09-01,TOULON,2398.4516658530956
2018-10-01,TOULON,2397.4776165434814
2018-11-01,TOULON,2396.4710989235427
2018-12-01,TOULON,2395.4970496139285
2019-01-01,TOULON,2394.4905319939935
2019-02-01,TOULON,2393.484014374055
2019-03-01,TOULON,2392.5749016850823
2019-04-01,TOULON,2391.5683840651473
2019-05-01,TOULON,2390.5943347555294
2019-06-01,TOULON,2389.5878171355944
2019-07-01,TOULON,2388.61376782598
2019-08-01,TOULON,2387.607250206045
2019-09-01,TOULON,2386.6007325861065
2019-10-01,TOULON,2385.6266832764923
2019-11-01,TOULON,2384.620165656557
